Experiment Name:,20200306_preliminary_t02,,,,,,,,
,,,,,,,,,
Tube Name:,Sample ID:,All Events ,P3 Events,All Events  % Total,P3 % Total,All Events  % Parent,P3 % Parent,#/uL,#/mL
M2 a,,15775,10911,100.00%,69.17%,100.00%,69.17%,182,181850
M2 b,,11372,6569,100.00%,57.76%,100.00%,57.76%,109,109483
M2 c,,10229,6916,100.00%,67.61%,100.00%,67.61%,115,115267
W1 a,,16018,10615,100.00%,66.27%,100.00%,66.27%,177,176917
W1 b,,16311,10398,100.00%,63.75%,100.00%,63.75%,173,173300
W1 c,,16328,11218,100.00%,68.70%,100.00%,68.70%,187,186967
W2 a,,10362,4691,100.00%,45.27%,100.00%,45.27%,78,78183
W2 b,,9881,4715,100.00%,47.72%,100.00%,47.72%,79,78583
W2 c,,7360,2597,100.00%,35.29%,100.00%,35.29%,43,43283
W3 a,,37313,29799,100.00%,79.86%,100.00%,79.86%,497,496650
W3 b,,34305,26945,100.00%,78.55%,100.00%,78.55%,449,449083
W3 c,,23482,15839,100.00%,67.45%,100.00%,67.45%,264,263983
M3 a,,19797,5188,100.00%,26.21%,100.00%,26.21%,86,86467
M3 b,,35272,22374,100.00%,63.43%,100.00%,63.43%,373,372900
M3 c,,44901,31766,100.00%,70.75%,100.00%,70.75%,529,529433
P a,,28902,25573,100.00%,88.48%,100.00%,88.48%,426,426217
P b,,28771,25281,100.00%,87.87%,100.00%,87.87%,421,421350
P c,,16595,13114,100.00%,79.02%,100.00%,79.02%,219,218567
N a,,3809,1552,100.00%,40.75%,100.00%,40.75%,26,25867
N b,,9658,7472,100.00%,77.37%,100.00%,77.37%,125,124533
N c,,6377,4207,100.00%,65.97%,100.00%,65.97%,70,70117
Deep1,,38723,447,100.00%,1.15%,100.00%,1.15%,7,7450
Deep2,,11776,696,100.00%,5.91%,100.00%,5.91%,12,11600
Deep3,,7036,832,100.00%,11.82%,100.00%,11.82%,14,13867
Deep4,,5551,737,100.00%,13.28%,100.00%,13.28%,12,12283
Deep5,,4794,683,100.00%,14.25%,100.00%,14.25%,11,11383
Deep6,,378691,1397,100.00%,0.37%,100.00%,0.37%,23,23283
Flow1,,9700,1226,100.00%,12.64%,100.00%,12.64%,20,20433
Flow2,,9829,873,100.00%,8.88%,100.00%,8.88%,15,14550
Flow3,,7291,556,100.00%,7.63%,100.00%,7.63%,9,9267
npw1,,2148,164,100.00%,7.64%,100.00%,7.64%,3,2733
npw2,,1375,62,100.00%,4.51%,100.00%,4.51%,1,1033
npw3,,995,34,100.00%,3.42%,100.00%,3.42%,1,567
