Experiment Name:;20200715_EX3_h0

Tube Name:;Sample ID:;Volume(μL):;All Events ;P3 Events;All Events  % Total;P3 % Total;All Events  % Parent;P3 % Parent;All Events  Events/μL(V);P3 Events/μL(V)
aN;;60.0;2694;41;100.00%;1.52%;100.00%;1.52%;44.90;0.68
bN;;60.0;3879;78;100.00%;2.01%;100.00%;2.01%;64.65;1.30
cN;;60.0;3334;371;100.00%;11.13%;100.00%;11.13%;55.57;6.18
aM2;;60.0;4069;1213;100.00%;29.81%;100.00%;29.81%;67.82;20.22
bM2;;60.0;5445;2690;100.00%;49.40%;100.00%;49.40%;90.75;44.83
cM2;;60.0;7330;2757;100.00%;37.61%;100.00%;37.61%;122.17;45.95
aM3;;60.0;18627;9291;100.00%;49.88%;100.00%;49.88%;310.48;154.87
bM3;;60.0;14041;7051;100.00%;50.22%;100.00%;50.22%;234.02;117.52
cM3;;60.0;14114;5818;100.00%;41.22%;100.00%;41.22%;235.24;96.97
aM3x;;60.0;5170;1243;100.00%;24.04%;100.00%;24.04%;86.17;20.72
bM3x;;60.0;7533;3863;100.00%;51.28%;100.00%;51.28%;125.56;64.39
cM3x;;60.0;5898;2120;100.00%;35.94%;100.00%;35.94%;98.35;35.35
aM23;;60.0;3776;891;100.00%;23.60%;100.00%;23.60%;62.94;14.85
bM23;;60.0;3406;707;100.00%;20.76%;100.00%;20.76%;56.77;11.78
cM23;;60.0;2889;295;100.00%;10.21%;100.00%;10.21%;48.17;4.92
aM32;;60.0;11603;4171;100.00%;35.95%;100.00%;35.95%;193.41;69.53
bM32;;60.0;7168;906;100.00%;12.64%;100.00%;12.64%;119.47;15.10
cM32;;60.0;12415;4649;100.00%;37.45%;100.00%;37.45%;206.93;77.49
aH;;60.0;4060;807;100.00%;19.88%;100.00%;19.88%;67.68;13.45
bH;;60.0;3808;721;100.00%;18.93%;100.00%;18.93%;63.50;12.02
cH;;60.0;3213;762;100.00%;23.72%;100.00%;23.72%;53.55;12.70
aH0;;60.0;3225;817;100.00%;25.33%;100.00%;25.33%;53.75;13.62
bH0;;60.0;4641;597;100.00%;12.86%;100.00%;12.86%;77.35;9.95
cH0;;60.0;3698;636;100.00%;17.20%;100.00%;17.20%;61.63;10.60
aH1;;60.0;3329;591;100.00%;17.75%;100.00%;17.75%;55.50;9.85
bH1;;60.0;14572;2440;100.00%;16.74%;100.00%;16.74%;242.87;40.67
cH1;;60.0;3507;643;100.00%;18.33%;100.00%;18.33%;58.45;10.72
aH5;;60.0;4636;685;100.00%;14.78%;100.00%;14.78%;77.27;11.42
bH5;;60.0;3962;758;100.00%;19.13%;100.00%;19.13%;66.03;12.63
cH5;;60.0;3090;652;100.00%;21.10%;100.00%;21.10%;51.50;10.87
aH10;;60.0;4945;723;100.00%;14.62%;100.00%;14.62%;82.42;12.05
bH10;;60.0;3842;698;100.00%;18.17%;100.00%;18.17%;64.04;11.63
cH10;;60.0;3541;656;100.00%;18.53%;100.00%;18.53%;59.02;10.93
aP;;60.0;9058;1532;100.00%;16.91%;100.00%;16.91%;150.97;25.53
bP;;60.0;49075;38200;100.00%;77.84%;100.00%;77.84%;817.93;636.68
cP;;60.0;13018;3803;100.00%;29.21%;100.00%;29.21%;216.97;63.38
