Experiment Name:;20200717_EX3_h48

Tube Name:;Sample ID:;Volume(μL):;All Events ;P3 Events;All Events  % Total;P3 % Total;All Events  % Parent;P3 % Parent;All Events  Events/μL(V);P3 Events/μL(V)
aN;;60.0;2295;688;100.00%;29.98%;100.00%;29.98%;38.25;11.47
bN;;60.0;4271;1065;100.00%;24.94%;100.00%;24.94%;71.18;17.75
cN;;60.0;3171;891;100.00%;28.10%;100.00%;28.10%;52.86;14.85
aM2;;60.0;4269;1222;100.00%;28.62%;100.00%;28.62%;71.18;20.37
bM2;;60.0;4270;2161;100.00%;50.61%;100.00%;50.61%;71.17;36.02
cM2;;60.0;3624;1468;100.00%;40.51%;100.00%;40.51%;60.40;24.47
aM3;;60.0;4753;1370;100.00%;28.82%;100.00%;28.82%;79.22;22.83
bM3;;60.0;5567;1605;100.00%;28.83%;100.00%;28.83%;92.78;26.75
cM3;;60.0;5078;1501;100.00%;29.56%;100.00%;29.56%;84.65;25.02
aM3x;;60.0;7064;4249;100.00%;60.15%;100.00%;60.15%;117.73;70.82
bM3x;;60.0;7782;4403;100.00%;56.58%;100.00%;56.58%;129.70;73.38
cM3x;;60.0;7242;3447;100.00%;47.60%;100.00%;47.60%;120.76;57.48
aM23;;60.0;5017;2400;100.00%;47.84%;100.00%;47.84%;83.63;40.00
bM23;;60.0;6034;3002;100.00%;49.75%;100.00%;49.75%;100.57;50.04
cM23;;60.0;5277;2506;100.00%;47.49%;100.00%;47.49%;87.95;41.77
aM32;;60.0;5410;1526;100.00%;28.21%;100.00%;28.21%;90.18;25.44
bM32;;60.0;4913;696;100.00%;14.17%;100.00%;14.17%;81.89;11.60
cM32;;60.0;5360;1030;100.00%;19.22%;100.00%;19.22%;89.33;17.17
aH;;60.0;13613;7835;100.00%;57.56%;100.00%;57.56%;226.88;130.58
bH;;60.0;12686;7435;100.00%;58.61%;100.00%;58.61%;211.44;123.92
cH;;60.0;12524;7244;100.00%;57.84%;100.00%;57.84%;208.73;120.73
aH0;;60.0;14007;8191;100.00%;58.48%;100.00%;58.48%;233.46;136.52
bH0;;60.0;15080;9375;100.00%;62.17%;100.00%;62.17%;251.33;156.25
cH0;;60.0;17914;11597;100.00%;64.74%;100.00%;64.74%;298.57;193.28
aH1;;60.0;13564;7754;100.00%;57.17%;100.00%;57.17%;226.07;129.24
bH1;;60.0;20137;13490;100.00%;66.99%;100.00%;66.99%;335.62;224.84
cH1;;60.0;21718;15038;100.00%;69.24%;100.00%;69.24%;361.97;250.64
aH5;;60.0;33341;21336;100.00%;63.99%;100.00%;63.99%;555.68;355.60
bH5;;60.0;25015;15834;100.00%;63.30%;100.00%;63.30%;416.92;263.90
cH5;;60.0;28762;18874;100.00%;65.62%;100.00%;65.62%;479.37;314.57
aH10;;60.0;46182;32539;100.00%;70.46%;100.00%;70.46%;769.71;542.33
bH10;;60.0;55928;40334;100.00%;72.12%;100.00%;72.12%;932.16;672.25
cH10;;60.0;47718;33803;100.00%;70.84%;100.00%;70.84%;795.35;563.42
aP;;60.0;17581;8946;100.00%;50.88%;100.00%;50.88%;293.03;149.10
bP;;60.0;19502;12566;100.00%;64.43%;100.00%;64.43%;325.05;209.44
cP;;60.0;17365;10302;100.00%;59.33%;100.00%;59.33%;289.43;171.71
