Experiment Name:;20200722_EX3_h168

Tube Name:;Sample ID:;Volume(μL):;All Events ;P3 Events;All Events  % Total;P3 % Total;All Events  % Parent;P3 % Parent;All Events  Events/μL(V);P3 Events/μL(V)
aN;;60.0;42855;41780;100.00%;97.49%;100.00%;97.49%;714.30;696.38
bN;;60.0;35883;32549;100.00%;90.71%;100.00%;90.71%;598.11;542.54
cN;;60.0;47400;43940;100.00%;92.70%;100.00%;92.70%;790.02;732.35
aM2;;60.0;10121;6751;100.00%;66.70%;100.00%;66.70%;168.72;112.54
bM2;;60.0;10719;8144;100.00%;75.98%;100.00%;75.98%;178.68;135.76
cM2;;60.0;7839;4911;100.00%;62.65%;100.00%;62.65%;130.67;81.86
aM3;;60.0;9351;4960;100.00%;53.04%;100.00%;53.04%;155.85;82.67
bM3;;60.0;9146;4886;100.00%;53.42%;100.00%;53.42%;152.44;81.44
cM3;;60.0;9765;5003;100.00%;51.23%;100.00%;51.23%;162.75;83.39
aM3x;;60.0;11070;7985;100.00%;72.13%;100.00%;72.13%;184.50;133.08
bM3x;;60.0;9990;6672;100.00%;66.79%;100.00%;66.79%;166.56;111.24
cM3x;;60.0;42557;14508;100.00%;34.09%;100.00%;34.09%;709.29;241.80
aM23;;60.0;20281;16376;100.00%;80.75%;100.00%;80.75%;338.06;272.97
bM23;;60.0;1425;23;100.00%;1.61%;100.00%;1.61%;23.75;0.38
cM23;;60.0;13222;10219;100.00%;77.29%;100.00%;77.29%;220.37;170.32
aM32;;60.0;8539;4729;100.00%;55.38%;100.00%;55.38%;142.32;78.82
bM32;;60.0;8840;4208;100.00%;47.60%;100.00%;47.60%;147.33;70.13
cM32;;60.0;9143;4895;100.00%;53.54%;100.00%;53.54%;152.38;81.58
aH;;60.0;18412;10668;100.00%;57.94%;100.00%;57.94%;306.87;177.80
bH;;60.0;6427;2311;100.00%;35.96%;100.00%;35.96%;107.12;38.52
cH;;60.0;6931;2531;100.00%;36.52%;100.00%;36.52%;115.52;42.18
aH0;;60.0;7462;2206;100.00%;29.56%;100.00%;29.56%;124.37;36.77
bH0;;60.0;7613;2869;100.00%;37.69%;100.00%;37.69%;126.88;47.82
cH0;;60.0;8387;2729;100.00%;32.54%;100.00%;32.54%;139.81;45.49
aH1;;60.0;8589;2641;100.00%;30.75%;100.00%;30.75%;143.17;44.02
bH1;;60.0;9324;3663;100.00%;39.29%;100.00%;39.29%;155.40;61.05
cH1;;60.0;11845;4566;100.00%;38.55%;100.00%;38.55%;197.43;76.11
aH5;;60.0;1976;82;100.00%;4.15%;100.00%;4.15%;32.93;1.37
bH5;;60.0;17726;8731;100.00%;49.26%;100.00%;49.26%;295.43;145.52
cH5;;60.0;14026;6011;100.00%;42.86%;100.00%;42.86%;233.79;100.19
aH10;;60.0;21593;10954;100.00%;50.73%;100.00%;50.73%;359.90;182.57
bH10;;60.0;18478;8272;100.00%;44.77%;100.00%;44.77%;307.98;137.87
cH10;;60.0;17858;7909;100.00%;44.29%;100.00%;44.29%;297.64;131.82
aP;;60.0;11778;7497;100.00%;63.65%;100.00%;63.65%;196.31;124.96
bP;;60.0;12379;7333;100.00%;59.24%;100.00%;59.24%;206.32;122.22
cP;;60.0;13491;7615;100.00%;56.45%;100.00%;56.45%;224.91;126.95
